time (seconds),encoderLeft (meters),encoderRight (meters)
80.202,2.0970370769500732,1.8007293939590454
80.301,2.0993850231170654,1.7983779907226562
80.403,2.1017332077026367,1.7960264682769775
80.5,2.104081153869629,1.7936749458312988
80.598,2.106429100036621,1.7913235425949097
80.702,2.1087772846221924,1.788972020149231
80.801,2.1111252307891846,1.7866204977035522
80.897,2.1134731769561768,1.784269094467163
81.001,2.115821361541748,1.7819175720214844
81.101,2.1181693077087402,1.7795660495758057
81.201,2.1205172538757324,1.7772146463394165
81.301,2.1228652000427246,1.7748631238937378
81.399,2.125213384628296,1.772511601448059
81.502,2.127561330795288,1.7701600790023804
81.601,2.1299092769622803,1.7678085565567017
81.701,2.1322574615478516,1.7654571533203125
81.8,2.1346054077148438,1.7631056308746338
81.901,2.136953592300415,1.760754108428955
81.999,2.1393015384674072,1.7584025859832764
82.101,2.1416494846343994,1.7560511827468872
82.201,2.1439974308013916,1.7536996603012085
82.3,2.146345615386963,1.7513481378555298
82.401,2.148693561553955,1.7489967346191406
82.498,2.1510415077209473,1.746645212173462
82.61,2.1533896923065186,1.7442936897277832
82.701,2.1557376384735107,1.7419421672821045
82.801,2.158085584640503,1.7395907640457153
82.902,2.160433530807495,1.7372392416000366
83.001,2.1627817153930664,1.734887719154358
83.1,2.1651296615600586,1.7325361967086792
83.201,2.16747784614563,1.73018479347229
83.301,2.169825792312622,1.7278332710266113
83.401,2.1721737384796143,1.7254817485809326
83.501,2.1745219230651855,1.7231303453445435
83.601,2.1768698692321777,1.7207788228988647
83.691,2.17921781539917,1.7184274196624756
83.801,2.228750705718994,1.7678192853927612
83.901,2.2787492275238037,1.817816972732544
84.002,2.328747510910034,1.8678146600723267
84.101,2.3787455558776855,1.9178123474121094
84.201,2.428743362426758,1.967810034751892
84.296,2.478741407394409,2.017807722091675
84.393,2.5287373065948486,2.0678045749664307
84.5,2.578714609146118,2.1178138256073
84.599,2.6287012100219727,2.1678130626678467
84.701,2.67867374420166,2.2178266048431396
84.801,2.7286646366119385,2.267822027206421
84.901,2.7786378860473633,2.3178162574768066
85.001,2.8285882472991943,2.3678178787231445
85.101,2.878580331802368,2.417806625366211
85.21,2.9285614490509033,2.46779203414917
85.301,2.9785239696502686,2.5177814960479736
85.401,3.028505325317383,2.5677406787872314
85.511,3.078483819961548,2.617691993713379
85.601,3.1284704208374023,2.6676595211029053
85.696,3.1784615516662598,2.717621088027954
85.8,3.22845458984375,2.7675883769989014
85.895,3.278444528579712,2.8175582885742188
86.001,3.328432321548462,2.867530107498169
86.101,3.378417730331421,2.917501926422119
86.201,3.42840313911438,2.967477560043335
86.3,3.478386640548706,3.017453908920288
86.405,3.528369188308716,3.0674309730529785
86.503,3.5783534049987793,3.11741042137146
86.601,3.628335475921631,3.1673882007598877
86.701,3.6783182621002197,3.217367649078369
86.801,3.7282979488372803,3.2673442363739014
86.901,3.778277635574341,3.3173203468322754
87.001,3.828256607055664,3.367295503616333
87.093,3.8782360553741455,3.417271137237549
87.199,3.928215742111206,3.4672467708587646
87.298,3.9781951904296875,3.5172224044799805
87.401,4.028999328613281,3.5680248737335205
87.497,4.0789923667907715,3.6180241107940674
87.602,4.128978729248047,3.668008804321289
87.692,4.178957939147949,3.717985153198242
87.8,4.22893762588501,3.767962694168091
87.902,4.278915882110596,3.8179404735565186
88.002,4.328894138336182,3.867917537689209
88.101,4.378872394561768,3.9178953170776367
88.201,4.428851127624512,3.967872142791748
88.301,4.478830814361572,4.017849445343018
88.403,4.528812885284424,4.06782865524292
88.5,4.578793525695801,4.117806911468506
88.602,4.628775119781494,4.16778564453125
88.7,4.678755760192871,4.217763423919678
88.807,4.728734970092773,4.267739772796631
88.894,4.778714179992676,4.317715644836426
88.998,4.828693389892578,4.367691516876221
89.113,4.8786725997924805,4.417667388916016
89.201,4.928651809692383,4.467643737792969
89.297,4.979471206665039,4.518463134765625
89.4,5.0294647216796875,4.568456649780273
89.5,5.079447269439697,4.618436336517334
89.601,5.129425525665283,4.668412208557129
89.701,5.179405689239502,4.718389987945557
89.799,5.229385852813721,4.768368244171143
89.9,5.279366493225098,4.818346977233887
90,5.329347133636475,4.868326187133789
90.094,5.379327297210693,4.918303489685059
90.201,5.379762172698975,4.918732643127441
90.301,5.379759788513184,4.918728828430176
90.401,5.3797502517700195,4.918723106384277
90.489,5.3797478675842285,4.9187188148498535
90.597,5.379737377166748,4.9187092781066895
90.698,5.379733085632324,4.918702125549316
90.793,5.379727363586426,4.91869592666626
90.901,5.379718780517578,4.918686866760254
90.999,5.379709243774414,4.91867733001709
91.101,5.379701137542725,4.918668746948242
91.2,5.379693984985352,4.918661117553711
91.3,5.379687786102295,4.918654918670654
91.401,5.379681587219238,4.9186482429504395
91.501,5.379675388336182,4.918641567230225
91.6,5.379667282104492,4.918633937835693
91.701,5.379663467407227,4.918630123138428
91.801,5.3796586990356445,4.9186248779296875
91.901,5.379654884338379,4.918621063232422
92.001,5.3796515464782715,4.918617248535156
92.101,5.379647731781006,4.918612957000732
92.201,5.37964391708374,4.918609142303467
92.301,5.379639148712158,4.918604373931885
92.4,5.379635334014893,4.918600559234619
92.5,5.3796305656433105,4.918595314025879
92.599,5.379626274108887,4.918591022491455
92.7,5.3796210289001465,4.918585300445557
92.802,5.379617691040039,4.918581962585449
92.897,5.379611968994141,4.918576240539551
93.001,5.379607200622559,4.9185709953308105
93.101,5.379603385925293,4.918567657470703
93.198,5.379599094390869,4.918562889099121
93.301,5.3795952796936035,4.9185590744018555
93.401,5.3795905113220215,4.918554306030273
93.5,5.379586696624756,4.91855001449585
93.601,5.379581451416016,4.918544769287109
93.701,5.379577159881592,4.9185404777526855
93.801,5.379571914672852,4.918534755706787
93.899,5.379568099975586,4.9185309410095215
94.001,5.379562854766846,4.918525695800781
94.101,5.37955904006958,4.918521404266357
94.201,5.37955379486084,4.918515682220459
94.301,5.379550933837891,4.918513298034668
94.401,5.379546642303467,4.918508529663086
94.501,5.379542350769043,4.918504238128662
94.602,5.379537582397461,4.918498992919922
94.701,5.379533290863037,4.918494701385498
94.801,5.3795294761657715,4.918490886688232
